ShipmentId,OrderId,CustomerId,OriginCity,DestinationCity,ShippingCompany,WeightKg,Status,ShipDate,DeliveryDate,TrackingCode,DeliveryAttempts,SLACompliance,CustomerSatisfaction,ProcessType
1,16795,8644,Medeyin,Medeyin,Envio Fasil,0.5,Entregado,2025-01-11,2025-02-16,EF-1296,1,,1,manual
2,1860,5261,Barrankilla,Bogota,Envio Facil,0.5,pendiente,2025-01-07,2025-01-10,EF-0954,1,,6,
3,77820,9521,Barranquilla,Bogta,Envio Facil,0.5,Entregado,2025-01-18,2025-01-16,EF-1538,1,No,1,manual
4,55886,3464,Caly,Barranquilla,Envio Facil,pesado,Entregado,2025-01-08,2025-01-18,EF-1595,2,Si,0,Manual
5,7265,5635,Bogota,Medellin?,Envío Facíl,pesado,Entransito,2025-01-19,2024-12-29,EF-1270,5,,4,
6,83386,8693,Cartagena,Medellin?,En Vio Facil,0.5,pendiente,2024-12-31,2025-02-02,EF-1504,2,Sí,6,Manual
7,38194,6891,Caly,Cartajena,Envio Facil,"7,8",Entregadoo,2024-12-30,2025-01-17,EF-0376,4,,***,Manual
8,88498,2963,Cali,Medellin,Envio Facil,,Entransito,2025-01-24,2025-01-27,EF-0506,1,,6,Manual
9,45131,4205,Bogotá,Kartagena,Envío Facíl,pesado,En transito…,2025-01-10,2025-01-04,EF-1200,1,No,4,Automatizado
10,61263,3441,Cartajena,Bogta,En Vio Facil,-1,PENDIETE,2025-01-21,2025-01-04,EF-1520,1,No,4,
11,17023,3257,Barranquilla,Medellin,Envío Facíl,4.5,pendiente,2024-12-24,2025-01-19,EF-0982,3,No,4,
12,42090,750,Medellin?,Bogta,Envío Facil,4.5,Entransito,2024-12-22,2025-01-21,EF-0676,3,No,3,
13,68221,5774,Caly,Barranquilla,Envío Facil,pesado,En transito…,2025-01-23,2025-01-29,EF-1288,,,2,Manual
14,65820,5611,Bogotaaa,Barrankila,Envío Facil,0.5,Entransito,2025-02-09,2024-12-22,EF-1060,1,,0,Manual
15,1769,1787,Bogota,Kartagena,Envio Facil,"7,8",Entregadoo,2024-12-29,2025-01-11,EF-1131,1,NO,3,
16,60735,6120,Calli,Barrankila,Envío Facíl,,Entregado,2025-01-08,2025-01-15,EF-0025,3,No,0,
17,63955,5460,Medejin,Medellin,Envio Facil,4.5,Entregadoo,2025-01-20,2025-01-29,EF-0424,2,NO,excelente,Automatizado
18,65925,4609,Bogotá,Barrankilla,Envío Facil,pesado,pendiente,2025-01-23,2024-12-28,EF-1405,5,Si,2,Manual
19,68969,5983,Bogotá,Calli,En Vio Facil,"7,8",Entransito,2025-01-12,2025-01-25,EF-1772,2,No,,
20,6311,912,Cartagena,Barrankilla,En Vio Facil,0.5,Entransito,2025-01-07,2025-01-15,EF-1503,5,Si,***,Manual
21,84104,5606,Bogota,Medellín,Envío Facíl,,pendiente,2025-02-01,2024-12-27,EF-1796,3,Sí,,Automatizado
22,54707,8190,Bogotaaa,Bogta,En Vio Facil,,En transito…,2024-12-30,2024-12-21,EF-0999,,,***,
23,86305,7620,Medellin?,Cali,Envío Facil,4.5,Entregado,2025-01-12,2025-01-21,EF-1645,,,3,
24,29693,7043,Barrankilla,Calli,Envío Facíl,999,En transito…,2024-12-31,2024-12-29,EF-0683,1,NO,6,manual
25,72932,2633,Barrankila,Medellin?,Envío Facíl,4.5,Entransito,2025-01-23,2025-02-17,EF-1994,1,,5,Automatizado
26,94016,3501,Medellín,Medellin,Envío Facil,-1,pendiente,2025-02-07,2025-02-02,EF-1179,1,Si,5,manual
27,26658,470,Medellín,Barranquilla,Envío Facil,pesado,En transito…,2025-01-29,2025-02-23,EF-0489,2,,3,manual
28,85478,1279,Cartajena,Caly,Envío Facil,999,Rtrasado,2024-12-24,2025-01-10,EF-0422,1,No,excelente,Automatizado
29,19431,5522,Bogotá,Medellin,Envío Facil,,Entregadoo,2025-01-07,2025-01-09,EF-1489,5,Sí,3,
30,3747,8995,Barrankila,Medeyin,Envío Facíl,0.5,Rtrasado,2024-12-30,2025-02-07,EF-0109,1,NO,,Automatizado
31,60150,5457,Bogota,Bogotaaa,En Vio Facil,0.5,Rtrasado,2025-02-06,2025-01-22,EF-1446,3,NO,3,Manual
32,66725,8182,Kartagena,Barrankila,Envío Facil,999,Entregadoo,2025-01-30,2025-01-07,EF-0632,1,NO,1,
33,85654,9977,Barranquilla,Bogta,Envio Fasil,pesado,pendiente,2025-01-26,2025-01-30,EF-1472,2,No,1,Manual
34,36773,6414,Caly,Medellín,Envío Facíl,,Entregadoo,2025-01-09,2025-01-06,EF-0729,2,,3,Automatizado
35,68435,5206,Barrankila,Barrankilla,Envio Facil,4.5,Entregado,2025-01-24,2025-01-02,EF-1169,3,No,,Manual
36,57886,4185,Medellin,Barrankilla,En Vio Facil,-1,Rtrasado,2024-12-23,2025-02-01,EF-1933,4,Si,6,Manual
37,67803,9787,Medellín,Medeyin,Envío Facíl,0.5,Entransito,2025-02-04,2025-02-23,EF-0853,2,,excelente,Automatizado
38,32551,8991,Medejin,Bogta,Envío Facil,"7,8",Rtrasado,2025-01-17,2025-01-12,EF-0335,4,No,***,manual
39,12394,8905,Barrankilla,Medeyin,Envio Fasil,pesado,En transito…,2025-01-09,2025-01-29,EF-1648,3,Si,2,manual
40,70092,6191,Bogotaaa,Bogotaaa,Envio Facil,0.5,pendiente,2025-01-23,2025-01-23,EF-0629,1,Si,,manual
41,4890,6427,Barrankilla,Kartagena,En Vio Facil,"7,8",Entregadoo,2025-01-16,2025-01-25,EF-0536,,No,0,Automatizado
42,42606,9458,Cali,Medellin?,Envío Facil,999,Entransito,2025-02-06,2025-02-08,EF-1799,4,No,5,manual
43,97276,8033,Cartagena,Cartagena,Envío Facíl,"7,8",En transito…,2025-01-24,2025-01-19,EF-0448,3,Sí,,manual
44,81038,3086,Calli,Cartajena,Envío Facíl,0.5,PENDIETE,2025-01-18,2025-01-29,EF-0117,4,No,1,Automatizado
45,88313,2853,Barrankilla,Barranquilla,En Vio Facil,pesado,Entransito,2025-01-06,2025-01-01,EF-1005,4,NO,5,manual
46,11627,9480,Barrankilla,Medellín,Envio Fasil,"7,8",pendiente,2025-01-12,2024-12-21,EF-1087,1,,2,manual
47,9792,5064,Bogotá,Bogta,Envío Facil,"7,8",pendiente,2025-01-18,2025-01-05,EF-1788,,Si,***,
48,74969,2714,Barranquilla,Medellin?,En Vio Facil,,pendiente,2025-01-04,2025-02-08,EF-0742,2,NO,2,Manual
49,44001,4169,Bogta,Bogta,En Vio Facil,-1,En transito…,2024-12-27,2025-02-01,EF-0488,4,NO,,manual
