precio,stock
"$1,200",20
1200,20
"1.200,50",20
??,N/A
3500,10
"$1,200",--
1200,20
"1.200,50",10
??,--
3500,20
"$1,200",20
1200,N/A
"1.200,50",10
??,N/A
3500,--
"$1,200",10
1200,N/A
"1.200,50",10
??,N/A
3500,10
"$1,200",10
1200,--
"1.200,50",--
??,--
3500,10
"$1,200",10
1200,--
"1.200,50",20
??,--
3500,N/A
"$1,200",--
1200,10
"1.200,50",--
??,10
3500,--
"$1,200",--
1200,20
"1.200,50",N/A
??,20
3500,10
"$1,200",10
1200,--
"1.200,50",10
??,--
3500,10
"$1,200",10
1200,20
"1.200,50",10
??,N/A
3500,N/A
"$1,200",20
1200,20
"1.200,50",20
??,N/A
3500,10
